ID   | LR     | Layers               | Ep   | BS   | Time[s] | ValLoss 
--------------------------------------------------------------------------------
0    | 0.05   | [64, 64]             | 500  | 64   | 94.17   | 0.002485
1    | 0.05   | [64, 64]             | 500  | 128  | 92.06   | 0.006984
2    | 0.05   | [64, 64]             | 1000 | 64   | 188.55  | 0.001467
3    | 0.05   | [64, 64]             | 1000 | 128  | 182.01  | 0.002181
4    | 0.05   | [128, 128]           | 500  | 64   | 266.19  | 0.001372
5    | 0.05   | [128, 128]           | 500  | 128  | 260.56  | 0.005963
6    | 0.05   | [128, 128]           | 1000 | 64   | 530.26  | 0.000858
7    | 0.05   | [128, 128]           | 1000 | 128  | 519.71  | 0.003703
8    | 0.05   | [128, 128, 128]      | 500  | 64   | 474.12  | 0.001434
9    | 0.05   | [128, 128, 128]      | 500  | 128  | 470.69  | 0.003915
10   | 0.05   | [128, 128, 128]      | 1000 | 64   | 944.40  | 0.000883
11   | 0.05   | [128, 128, 128]      | 1000 | 128  | 936.35  | 0.002591
12   | 0.05   | [256, 256]           | 500  | 64   | 834.27  | 0.001193
13   | 0.05   | [256, 256]           | 500  | 128  | 832.47  | 0.004748
14   | 0.05   | [256, 256]           | 1000 | 64   | 1668.85 | 0.000976
15   | 0.05   | [256, 256]           | 1000 | 128  | 1659.19 | 0.002123
16   | 0.01   | [64, 64]             | 500  | 64   | 93.74   | 0.013422
17   | 0.01   | [64, 64]             | 500  | 128  | 90.33   | 0.033663
18   | 0.01   | [64, 64]             | 1000 | 64   | 187.69  | 0.005581
19   | 0.01   | [64, 64]             | 1000 | 128  | 181.20  | 0.023543
20   | 0.01   | [128, 128]           | 500  | 64   | 264.31  | 0.011813
21   | 0.01   | [128, 128]           | 500  | 128  | 260.64  | 0.030721
22   | 0.01   | [128, 128]           | 1000 | 64   | 525.12  | 0.003488
23   | 0.01   | [128, 128]           | 1000 | 128  | 519.54  | 0.020068
24   | 0.01   | [128, 128, 128]      | 500  | 64   | 473.95  | 0.007553
25   | 0.01   | [128, 128, 128]      | 500  | 128  | 468.91  | 0.022992
26   | 0.01   | [128, 128, 128]      | 1000 | 64   | 943.39  | 0.003627
27   | 0.01   | [128, 128, 128]      | 1000 | 128  | 932.68  | 0.013968
28   | 0.01   | [256, 256]           | 500  | 64   | 836.53  | 0.007283
29   | 0.01   | [256, 256]           | 500  | 128  | 831.27  | 0.029850
30   | 0.01   | [256, 256]           | 1000 | 64   | 1672.03 | 0.002519
31   | 0.01   | [256, 256]           | 1000 | 128  | 1661.23 | 0.020175
32   | 0.005  | [64, 64]             | 500  | 64   | 94.37   | 0.028370
33   | 0.005  | [64, 64]             | 500  | 128  | 90.81   | 0.046049
34   | 0.005  | [64, 64]             | 1000 | 64   | 187.67  | 0.015361
35   | 0.005  | [64, 64]             | 1000 | 128  | 181.20  | 0.037660
36   | 0.005  | [128, 128]           | 500  | 64   | 264.22  | 0.025320
37   | 0.005  | [128, 128]           | 500  | 128  | 260.18  | 0.042939
38   | 0.005  | [128, 128]           | 1000 | 64   | 526.25  | 0.008323
39   | 0.005  | [128, 128]           | 1000 | 128  | 518.69  | 0.031219
40   | 0.005  | [128, 128, 128]      | 500  | 64   | 474.36  | 0.016538
41   | 0.005  | [128, 128, 128]      | 500  | 128  | 468.34  | 0.037571
42   | 0.005  | [128, 128, 128]      | 1000 | 64   | 942.45  | 0.006203
43   | 0.005  | [128, 128, 128]      | 1000 | 128  | 929.87  | 0.028545
44   | 0.005  | [256, 256]           | 500  | 64   | 836.58  | 0.019277
45   | 0.005  | [256, 256]           | 500  | 128  | 831.83  | 0.039310
46   | 0.005  | [256, 256]           | 1000 | 64   | 1666.60 | 0.008242
47   | 0.005  | [256, 256]           | 1000 | 128  | 1658.05 | 0.030412
