ID   | LR     | Layers               | Ep  | BS   | Time[s] | ValAcc% 
--------------------------------------------------------------------------------
0    | 0.1    | [64]                 | 5   | 32   | 27.54   | 97.14%
1    | 0.1    | [64]                 | 5   | 64   | 27.01   | 96.50%
2    | 0.1    | [64]                 | 10  | 32   | 55.34   | 97.11%
3    | 0.1    | [64]                 | 10  | 64   | 54.42   | 97.26%
4    | 0.1    | [128]                | 5   | 32   | 55.16   | 97.42%
5    | 0.1    | [128]                | 5   | 64   | 54.23   | 96.29%
6    | 0.1    | [128]                | 10  | 32   | 110.05  | 97.78%
7    | 0.1    | [128]                | 10  | 64   | 108.13  | 97.53%
8    | 0.1    | [128, 64]            | 5   | 32   | 59.13   | 97.48%
9    | 0.1    | [128, 64]            | 5   | 64   | 58.44   | 97.27%
10   | 0.1    | [128, 64]            | 10  | 32   | 118.90  | 97.98%
11   | 0.1    | [128, 64]            | 10  | 64   | 117.08  | 97.55%
12   | 0.1    | [256, 128]           | 5   | 32   | 124.27  | 97.53%
13   | 0.1    | [256, 128]           | 5   | 64   | 123.35  | 97.36%
14   | 0.1    | [256, 128]           | 10  | 32   | 248.61  | 98.15%
15   | 0.1    | [256, 128]           | 10  | 64   | 244.75  | 97.90%
16   | 0.05   | [64]                 | 5   | 32   | 27.59   | 96.59%
17   | 0.05   | [64]                 | 5   | 64   | 27.05   | 95.39%
18   | 0.05   | [64]                 | 10  | 32   | 55.07   | 97.30%
19   | 0.05   | [64]                 | 10  | 64   | 53.96   | 96.46%
20   | 0.05   | [128]                | 5   | 32   | 55.22   | 96.75%
21   | 0.05   | [128]                | 5   | 64   | 54.37   | 95.65%
22   | 0.05   | [128]                | 10  | 32   | 110.07  | 97.60%
23   | 0.05   | [128]                | 10  | 64   | 108.98  | 96.61%
24   | 0.05   | [128, 64]            | 5   | 32   | 59.44   | 97.13%
25   | 0.05   | [128, 64]            | 5   | 64   | 58.61   | 96.40%
26   | 0.05   | [128, 64]            | 10  | 32   | 118.49  | 97.68%
27   | 0.05   | [128, 64]            | 10  | 64   | 117.91  | 96.85%
28   | 0.05   | [256, 128]           | 5   | 32   | 124.93  | 97.60%
29   | 0.05   | [256, 128]           | 5   | 64   | 122.30  | 97.05%
30   | 0.05   | [256, 128]           | 10  | 32   | 248.20  | 97.88%
31   | 0.05   | [256, 128]           | 10  | 64   | 244.67  | 97.41%
32   | 0.01   | [64]                 | 5   | 32   | 27.93   | 93.13%
33   | 0.01   | [64]                 | 5   | 64   | 27.13   | 91.86%
34   | 0.01   | [64]                 | 10  | 32   | 55.04   | 94.80%
35   | 0.01   | [64]                 | 10  | 64   | 54.44   | 93.53%
36   | 0.01   | [128]                | 5   | 32   | 55.38   | 93.65%
37   | 0.01   | [128]                | 5   | 64   | 54.30   | 92.15%
38   | 0.01   | [128]                | 10  | 32   | 109.61  | 95.30%
39   | 0.01   | [128]                | 10  | 64   | 108.51  | 93.46%
40   | 0.01   | [128, 64]            | 5   | 32   | 59.17   | 95.00%
41   | 0.01   | [128, 64]            | 5   | 64   | 58.34   | 93.90%
42   | 0.01   | [128, 64]            | 10  | 32   | 118.81  | 96.72%
43   | 0.01   | [128, 64]            | 10  | 64   | 115.97  | 95.32%
44   | 0.01   | [256, 128]           | 5   | 32   | 123.87  | 95.66%
45   | 0.01   | [256, 128]           | 5   | 64   | 121.84  | 94.19%
46   | 0.01   | [256, 128]           | 10  | 32   | 247.89  | 96.62%
47   | 0.01   | [256, 128]           | 10  | 64   | 243.58  | 95.61%
